index,iso_code,location,population,total_cases,total_cases_per_population
0,OWID_AFR,Africa,1392394303,12283127,0.882158665
1,OWID_ASI,Asia,4693235454,170366465,3.630042998
2,OWID_EUR,Europe,748655221,219771235,29.35546682
3,OWID_NAM,North America,596315269,109627909,18.38421967
4,OWID_OCE,Oceania,44491772,11726617,26.35682166
5,OWID_SAM,South America,433956670,62659794,14.43918214
