index,iso_code,location,total_cases,total_deaths,total_deaths_per_total_cases
0,OWID_AFR,Africa,12283127,256181,2.085633406
1,OWID_ASI,Asia,170366465,1457633,0.855586808
2,OWID_EUR,Europe,219771235,1891318,0.860584871
3,OWID_NAM,North America,109627909,1482889,1.352656466
4,OWID_OCE,Oceania,11726617,17017,0.145114316
5,OWID_SAM,South America,62659794,1318633,2.104432389
