Column1,Rank,Coin
0,1,BTC
1,2,REEF
2,3,SHIB
3,4,CAKE
4,5,ETH
5,6,ETC
6,7,LOOM
7,8,RVN
8,9,ATOM
9,10,SOL
10,11,ADA
11,12,BNB
12,13,TRIBE
13,14,MATIC
14,15,WETH
15,16,USTC
16,17,LTC
17,18,MANA
18,19,XLM
19,20,IOST
20,21,BLZ
21,22,GLM
22,23,LUNA
23,24,SKL
24,25,KCS
25,26,LUNC
26,27,JST
27,28,OMG
28,29,GLMR
29,30,MIOTA
