index,iso_code,location,population,people_vaccinated,people_vaccinated_per_population
0,OWID_AFR,Africa,1392394303,371836386,26.70481955
1,OWID_ASI,Asia,4693235454,3584029107,76.36584915
2,OWID_EUR,Europe,748655221,516477947,68.98742338
3,OWID_NAM,North America,596315269,441112084,73.97296479
4,OWID_OCE,Oceania,44491772,29055001,65.30421175
5,OWID_SAM,South America,433956670,369771574,85.20933069
