index,iso_code,location,population,people_vaccinated,people_fully_vaccinated
0,OWID_AFR,Africa,1392394303,371836386,293278107
1,OWID_ASI,Asia,4693235454,3584029107,3352719597
2,OWID_EUR,Europe,748655221,516477947,494426625
3,OWID_NAM,North America,596315269,441112084,382637684
4,OWID_OCE,Oceania,44491772,29055001,27871012
5,OWID_SAM,South America,433956670,369771574,332125893
